"filename", "language", "XML", "Properties", "Shell Script", "Batch", "Java Properties", "SQL", "Java", "YAML", "comment", "blank", "total"
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\src\main\java\com\rest\pruebarest\models\User.java", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\src\main\java\com\rest\pruebarest\repos\ContactGroupRepo.java", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 0, 8, 19
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\src\main\java\com\rest\pruebarest\repos\ContactRepo.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 0, 10, 26
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\src\main\java\com\rest\pruebarest\repos\UserRepo.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 0, 5, 12
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 8, 0, 0, 0, 12, 3, 23
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\src\test\java\com\rest\pruebarest\PruebarestApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\stack-spring\.env", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\stack-spring\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\stack-spring\setup.sql", "SQL", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\application.properties", "Java Properties", 0, 0, 0, 0, 8, 0, 0, 0, 12, 3, 23
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\PruebarestApplication.class", "Java", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\config\SecurityConfiguration.class", "Java", 0, 0, 0, 0, 0, 0, 13, 0, 31, 0, 44
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\controllers\AuthController.class", "Java", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 37
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\controllers\ContactController.class", "Java", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\controllers\ErrorController.class", "Java", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\controllers\GroupController.class", "Java", 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 53
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\controllers\RegisterController.class", "Java", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 38
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\controllers\UserController.class", "Java", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 61
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\AuthenticationException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\BadBodyException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\BadPathVariable.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\CollisionException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\ConflictException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\ForbiddenAccessException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\ImageBadFormatException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\ImageUploadErrorException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\NoImageException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\NotFoundException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend\target\classes\com\rest\pruebarest\exceptions\TokenAuthException.class", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
